"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2022","800.3395","793.4768","802.9574","780.1824","","0.86%"
"06/01/2022","793.4769","786.4548","802.5755","785.4966","","0.89%"
"05/31/2022","786.4548","792.7488","813.3317","785.4599","","-0.79%"
"05/27/2022","792.7475","785.8080","793.1236","780.3647","","0.88%"
"05/26/2022","785.8080","771.8982","790.4985","769.6887","","1.80%"
"05/25/2022","771.8983","769.0189","774.8875","767.2217","","0.37%"
"05/24/2022","769.0190","772.1670","774.3584","762.8491","","-0.41%"
"05/23/2022","772.1670","765.7641","773.2612","763.9012","","0.84%"
"05/20/2022","765.7641","766.4432","770.2751","759.0388","","-0.09%"
"05/19/2022","766.4433","754.7262","766.8519","736.4723","","1.55%"
"05/18/2022","754.7263","772.3788","778.5776","751.6639","","-2.29%"
"05/17/2022","772.3788","776.3981","783.5987","771.7549","","-0.52%"
"05/16/2022","776.3981","759.6836","778.2736","754.6192","","2.20%"
"05/13/2022","759.6836","744.5298","760.8086","744.5189","","2.04%"
"05/12/2022","744.5298","743.9950","747.2050","727.8841","","-0.15%"
"05/11/2022","745.6619","721.7123","748.1325","717.8473","","3.10%"
"05/10/2022","723.2401","732.3986","737.4099","720.0153","","-1.43%"
"05/09/2022","733.7260","768.0365","771.4656","731.5354","","-4.63%"
"05/06/2022","769.3733","772.8146","779.7512","763.9737","","-0.66%"
"05/05/2022","774.4589","771.3728","785.8460","765.7608","","0.40%"
"05/04/2022","771.3728","747.7260","774.4434","747.7046","","3.16%"
"05/03/2022","747.7260","760.6120","765.7119","745.9198","","-1.69%"
"05/02/2022","760.6120","756.7522","762.4173","739.6817","","0.51%"
"04/29/2022","756.7522","757.0509","769.3205","755.1450","","-0.04%"
"04/28/2022","757.0509","749.3502","758.5283","742.4723","","1.03%"
